,Unnamed: 0,country,club_name,club_code,link,gender,year,counter,link_image_club
56,56,Belgium Football Clubs,Beerschot-Wilrijk,c16e44ce,https://fbref.com/en/squads/c16e44ce/2022-2023/all_comps/Beerschot-Wilrijk-Stats-All-Competitions,Male,2022,232,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/c16e44ce.png
57,57,Belgium Football Clubs,KMSK-Deinze,d6611ea0,https://fbref.com/en/squads/d6611ea0/2022-2023/all_comps/KMSK-Deinze-Stats-All-Competitions,Male,2022,233,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/d6611ea0.png
58,58,Belgium Football Clubs,Genk,1e972a99,https://fbref.com/en/squads/1e972a99/2022-2023/all_comps/Genk-Stats-All-Competitions,Male,2022,234,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/1e972a99.png
59,59,Belgium Football Clubs,KRC-Genk-U23,e806fd60,https://fbref.com/en/squads/e806fd60/2022-2023/all_comps/KRC-Genk-U23-Stats-All-Competitions,Male,2022,235,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/e806fd60.png
60,60,Belgium Football Clubs,Kortrijk,77193015,https://fbref.com/en/squads/77193015/2022-2023/all_comps/Kortrijk-Stats-All-Competitions,Male,2022,241,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/77193015.png
61,61,Belgium Football Clubs,Mechelen,09f00144,https://fbref.com/en/squads/09f00144/2022-2023/all_comps/Mechelen-Stats-All-Competitions,Male,2022,242,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/09f00144.png
62,62,Belgium Football Clubs,Oostende,95b895fe,https://fbref.com/en/squads/95b895fe/2022-2023/all_comps/Oostende-Stats-All-Competitions,Male,2022,243,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/95b895fe.png
63,63,Belgium Football Clubs,Westerlo,57b6cfb8,https://fbref.com/en/squads/57b6cfb8/2022-2023/all_comps/Westerlo-Stats-All-Competitions,Male,2022,245,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/57b6cfb8.png
64,64,Belgium Football Clubs,Lierse-Kempenzonen,97c66f8c,https://fbref.com/en/squads/97c66f8c/2022-2023/all_comps/Lierse-Kempenzonen-Stats-All-Competitions,Male,2022,247,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/97c66f8c.png
65,65,Belgium Football Clubs,Lommel-SK,6f98eba9,https://fbref.com/en/squads/6f98eba9/2022-2023/all_comps/Lommel-SK-Stats-All-Competitions,Male,2022,249,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/6f98eba9.png
