,Unnamed: 0,Player,Nation,Pos,Age,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Matches,team,MP,country_full_name
140,140,Morgan Aquino,AUS,GK,20.0,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Perth-Glory-Women,,Australia
141,141,Hannah Blake,NZL,"FW,MF",22.0,9.0,6,602.0,6.7,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.1,2.1,0.5,2.7,11.0,24.0,34.0,0.45,0.0,0.45,0.45,0.45,0.32,0.08,0.4,0.32,0.4,Matches,Perth-Glory-Women,,New Zealand
142,142,Alana Jancevski,AUS,"FW,MF",19.0,18.0,6,554.0,6.2,3.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,1.6,0.9,1.0,1.9,7.0,35.0,28.0,0.49,0.16,0.65,0.32,0.49,0.27,0.16,0.43,0.14,0.3,Matches,Perth-Glory-Women,,Australia
143,143,Rylee Baisden,USA,"FW,MF",28.0,7.0,6,498.0,5.5,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,2.3,2.3,0.7,3.0,9.0,23.0,40.0,0.9,0.18,1.08,0.9,1.08,0.41,0.13,0.54,0.41,0.54,Matches,Perth-Glory-Women,,United States
144,144,Isabella Wallhead,AUS,DF,19.0,5.0,5,403.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,5.0,10.0,3.0,0.0,0.22,0.22,0.0,0.22,0.0,0.04,0.04,0.0,0.04,Matches,Perth-Glory-Women,,Australia
145,145,Susan Phonsongkham,AUS,"FW,MF",21.0,11.0,5,379.0,4.2,2.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,0.4,0.1,0.5,11.0,5.0,17.0,0.47,0.0,0.47,0.0,0.0,0.47,0.03,0.5,0.09,0.13,Matches,Perth-Glory-Women,,Australia
146,146,Gabriella Coleman,AUS,"FW,MF",23.0,10.0,4,460.0,5.1,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.2,2.2,0.4,2.7,15.0,6.0,50.0,0.59,0.0,0.59,0.59,0.59,0.43,0.09,0.52,0.43,0.52,Matches,Perth-Glory-Women,,Australia
147,147,Abbey Green,AUS,FW,19.0,9.0,2,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Perth-Glory-Women,,Australia
148,148,Demi Koulizakis,AUS,"FW,MF",24.0,14.0,0,304.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,1.9,2.0,17.0,20.0,0.0,0.3,0.3,0.0,0.3,0.31,0.25,0.55,0.31,0.55,Matches,Perth-Glory-Women,,Australia
149,149,Tijan McKenna,AUS,"DF,MF",17.0,3.0,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,Perth-Glory-Women,,Australia
150,150,Zara Board,null,MF,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Perth-Glory-Women,,null
151,151,Squad Total,null,nan,25.1,18.0,198,1620.0,18.0,30.0,19.0,49.0,26.0,4.0,5.0,29.0,2.0,24.5,20.5,14.9,35.5,179.0,535.0,527.0,1.67,1.06,2.72,1.44,2.5,1.36,0.83,2.19,1.14,1.97,,Perth-Glory-Women,,null
152,152,Opponent Total,null,nan,23.8,18.0,198,1620.0,18.0,24.0,15.0,39.0,22.0,2.0,2.0,22.0,1.0,35.0,33.5,23.0,56.5,351.0,794.0,782.0,1.33,0.83,2.17,1.22,2.06,1.95,1.28,3.23,1.86,3.14,,Perth-Glory-Women,,null
153,153,Princess Ibini-Isei,AUS,"FW,MF",22.0,18.0,18,1592.0,17.7,7.0,5.0,12.0,6.0,1.0,2.0,1.0,0.0,7.8,6.1,2.4,8.5,62.0,46.0,140.0,0.4,0.28,0.68,0.34,0.62,0.44,0.13,0.58,0.34,0.48,Matches,Sydney,,Australia
